"geo_id","geo_parent_id","geo_type","name","name_uk"
5141,238,"city","село Подгорное","село Підгірне"
5142,37653,"city","село Пролом","село Пролом"
5143,99,"city","село Песчаное","село Піщане"
5144,94,"city","село Дерсово","село Дерсове"
5145,71,"city","село Острожок","село Острожок"
5146,427,"city","село Дидятичи","село Дидятичі"
5147,392,"city","село Кобы","село Коби"
5148,392,"city","село Лысовка","село Лисівка"
5149,126,"city","село Воловая","село Волова"
5150,142,"city","Теребовля","Теребовля"
5151,133,"city","село Левятин","село Лев'ятин"
5152,66,"city","село Головское","село Головське"
5153,51,"city","село Зорянка","село Зорянка"
5154,144,"city","село Буда","село Буда"
5155,37610,"city","село Туники","село Туники"
5156,37652,"city","село Сарны","село Сарни"
5157,37606,"city","село Ворожба","село Ворожба"
5158,37604,"city","поселок городского типа Малокатериновка","селище міського типу Малокатеринівка"
5159,37650,"city","село Залесье Первое","село Залісся Перше"
5160,37667,"city","село Новоалексеевка","село Новоолексіївка"
5161,37691,"city","село Левков","село Левків"
5162,323,"city","село Новоскотоватое","село Новоскотувате"
5163,284,"city","село Рипяна","село Ріп'яна"
5164,402,"city","село Волчок","село Вовчок"
5165,204,"city","село Воровского","село Воровського"
5166,211,"city","село Конюхи","село Конюхи"
5167,182,"city","село Копачов","село Копачів"
5168,33,"city","село Кирово","село Кірове"
5169,146,"city","село Майоровка","село Майорівка"
5170,37685,"city","село Терновое","село Тернове"
5171,367,"city","село Кульчин","село Кульчин"
5172,324,"city","село Беликовцы","село Біликівці"
5173,129,"city","село Чайковка","село Чайківка"
5174,37606,"city","село Новоселовка","село Новоселівка"
5175,94,"city","поселок Обильное","селище Обільне"
5176,305,"city","село Стадники","село Стадники"
5177,389,"city","село Криворожское","село Криворізьке"
5178,89,"city","село Коленцы","село Колінці"
5179,89,"city","село Долина","село Долина"
5180,127,"city","село Осники","село Осники"
5181,275,"city","село Кулинка","село Кулинка"
5182,186,"city","село Забары","село Забари"
5183,244,"city","село Калиновка","село Калинівка"
5184,196,"city","село Соколовка","село Соколівка"
5185,363,"city","село Сулимовка","село Сулимівка"
5186,277,"city","село Старый Мизунь","село Старий Мізунь"
5187,38,"city","село Киселевка","село Киселівка"
5188,46,"city","село Карабаново","село Карабанове"
5189,37674,"city","поселок Заря","селище Зоря"
5190,391,"city","село Славная","село Славна"
5191,37642,"city","село Степное","село Степне"
5192,330,"city","село Украинское","село Українське"
5193,345,"city","село Сокольцы","село Сокільці"
5194,355,"city","село Кошмановка","село Кошманівка"
5195,214,"city","село Шевченко","село Шевченка"
5196,37667,"city","село Водяное","село Водяне"
5197,262,"city","село Таганча","село Таганча"
5198,37608,"city","село Вербовая","село Вербова"
5199,42,"city","село Красная Чаплиевка","село Чапліївка"
5200,156,"city","село Тараща","село Тараща"
5201,22,"city","Зуевка","Зуївка"
5202,127,"city","село Иванковцы","село Іванківці"
5203,43,"city","село Межиречка","село Межирічка"
5204,37656,"city","село Малая Мартынка","село Мала Мартинка"
5205,268,"city","село Захаровка","село Захарівка"
5206,257,"city","село Новая Пустоваровка","село Нова Пустоварівка"
5207,423,"city","село Луговое","село Лугове"
5208,215,"city","село Домаморич","село Домаморич"
5209,80,"city","село Новый Быков","село Новий Биків"
5210,37689,"city","поселок Яры","селище Яри"
5211,125,"city","село Петровское","село Водокачка"
5212,37630,"city","село Вишневое","село Вишневе"
5213,184,"city","поселок Новоселовка","селище Новоселівка"
5214,37603,"city","село Копани","село Копані"
5215,412,"city","село Залесочье","село Залісоче"
5216,105,"city","поселок Стефановка","селище Стефанівка"
5217,37657,"city","село Шеметово (Щорсово)","село Шеметове (Щорсово)"
5218,286,"city","село Добровляны","село Добрівляни"
5219,273,"city","село Сухое","село Сухе"
5220,423,"city","поселок Тростянец","селище Тростянець"
5221,248,"city","село Захаровка","село Захарівка"
5222,133,"city","село Пляшевая","село Пляшева"
5223,393,"city","село Степовое","село Степове"
5224,37663,"city","село Рассоховатое","село Розсохувате"
5225,367,"city","село Маковичи","село Маковичі"
5226,37671,"city","село Бендюговка","село Бендюгівка"
5227,420,"city","село Нянчино","село Нянчине"
5228,147,"city","село Кохановка","село Коханівка"
5229,219,"city","село Дейкаловка","село Дейкалівка"
5230,214,"city","село Приморское","село Приморське"
5231,386,"city","село Водяное","село Водяне"
5232,32,"city","село Кагань","село Кагань"
5233,37667,"city","село Дорогое","село Дороге"
5234,184,"city","село Киевка","село Київка"
5235,367,"city","село Соловичи","село Соловичі"
5236,51,"city","село Осовка","село Осівка"
5237,426,"city","село Ялосовецкое","село Ялосовецьке"
5238,135,"city","село Водички","село Водички"
5239,37609,"city","село Воютин","село Воютин"
5240,291,"city","село Пилипы","село Пилипи"
5241,351,"city","село Нижний Минченок","село Нижній Мінченок"
5242,271,"city","село Коржи","село Коржі"
5243,79,"city","село Вербовка","село Вербівка"
5244,89,"city","село Одаев","село Одаїв"
5245,37667,"city","село Богуславка","село Богуславка"
5246,99,"city","село Волфино","село Волфине"
5247,242,"city","село Пролетарское","село Пролетарське"
5248,291,"city","село Садки","село Садки"
5249,266,"city","село Першозвановка","село Першозванівка"
5250,47,"city","село Ганнов","село Ганнів"
5251,378,"city","село Дудниково","село Дудникове"
5252,132,"city","село Бригадировка","село Бригадирівка"
5253,167,"city","село Залесье","село Залісся"
5254,105,"city","село Подгородье","село Підгороддя"
5255,129,"city","поселок городского типа Любашевка","селище міського типу Любашівка"
5256,192,"city","село Лимаревка","село Лимарівка"
5257,244,"city","поселок городского типа Сивашское","селище міського типу Сиваське"
5258,37612,"city","село Излучистое","село Ізлучисте"
5259,375,"city","село Березки","село Берізки"
5260,130,"city","село Сомкова Долина","село Сомкова Долина"
5261,201,"city","село Славки","село Славки"
5262,37631,"city","село Раздольное","село Роздольне"
5263,400,"city","село Половинки","село Половинки"
5264,142,"city","село Золотники","село Золотники"
5265,406,"city","село Сальное","село Сальне"
5266,349,"city","село Туровка","село Турівка"
5267,47,"city","село Боднарёв","село Боднарів"
5268,218,"city","село Жевановка","село Жеванівка"
5269,195,"city","село Буряковка","село Буряківка"
5270,427,"city","село Кривяки","село Крив'яки"
5271,120,"city","село Козулька","село Козулька"
5272,388,"city","село Чернин","село Чернин"
5273,201,"city","село Паськовка","село Паськівка"
5274,238,"city","село Михайловка","село Михайлівка"
5275,280,"city","село Морозовка","село Морозівка"
5276,85,"city","село Каланчак","село Каланчак"
5277,321,"city","село Котелянка","село Котелянка"
5278,207,"city","село Крищинцы","село Крищинці"
5279,37657,"city","село Баланины","село Баланини"
5280,407,"city","село Есаульщина","село Осавульщина"
5281,22,"city","Лебяжье","Леб'яже"
5282,316,"city","село Знаменка","село Знам'янка"
5283,180,"city","село Дивочина","село Дівочина"
5284,271,"city","село Репки","село Ріпки"
5285,89,"city","село Яковка","село Яківка"
5286,37625,"city","поселок Заря","селище Зоря"
5287,424,"city","село Роскошное","село Розкішне"
5288,50,"city","село Подовое","село Подове"
5289,174,"city","село Шендеров","село Шендерів"
5290,165,"city","село Остров","село Острів"
5291,132,"city","село Заводы","село Заводи"
